 ,Label,Min,Max,Angle,Length
1,KAS_GEL_3677_06A_1x.bmp,136.21,184.17,-32.54,10.42
2,KAS_GEL_3677_06A_1x.bmp,132.77,171.67,-120.00,2.58
3,KAS_GEL_3677_07A_1x.bmp,143.66,193.00,157.69,10.62
4,KAS_GEL_3677_07A_1x.bmp,148.72,184.67,-110.10,2.75
5,KAS_GEL_3677_10B_2x.bmp,135.19,180.00,-119.05,11.67
6,KAS_GEL_3677_10B_2x.bmp,137.85,182.00,158.20,2.88
7,KAS_GEL_3677_10B_2x.bmp,132.07,187.67,-82.31,12.71
8,KAS_GEL_3677_10B_2x.bmp,132.79,164.50,-173.18,2.92
9,KAS_GEL_3677_11B_1x.bmp,137.74,204.00,100.64,11.09
10,KAS_GEL_3677_11B_1x.bmp,138.85,184.42,-168.81,2.92
11,KAS_GEL_3677_13B_1x.bmp,146.21,183.67,-126.43,8.96
12,KAS_GEL_3677_13B_1x.bmp,143.09,182.33,149.93,2.77
13,KAS_GEL_3677_14B_1x.bmp,136.46,187.00,-37.94,10.14
14,KAS_GEL_3677_14B_1x.bmp,136.68,173.50,-124.94,2.80
15,KAS_GEL_3677_16B_1x.bmp,150.56,187.33,-165.07,11.73
16,KAS_GEL_3677_16B_1x.bmp,152.41,191.00,108.80,3.13
17,KAS_GEL_3677_17B_1xC.bmp,148.67,191.00,139.53,11.84
18,KAS_GEL_3677_17B_1xC.bmp,151.43,189.00,-135.83,3.07
19,KAS_GEL_3677_18B_2x.bmp,149.24,188.33,-97.99,10.88
20,KAS_GEL_3677_18B_2x.bmp,150.33,192.33,175.52,3.22
21,KAS_GEL_3677_20C_rev_2x.bmp,129.04,161.96,-116.28,11.24
22,KAS_GEL_3677_20C_rev_2x.bmp,133.01,156.33,154.80,2.96
23,KAS_GEL_3677_21C_1x.bmp,139.17,173.96,-2.34,10.78
24,KAS_GEL_3677_21C_1x.bmp,140.00,163.33,87.66,3.09
25,KAS_GEL_3677_23C_1xTR.bmp,159.94,202.75,-62.90,10.65
26,KAS_GEL_3677_23C_1xTR.bmp,162.84,191.17,27.08,3.11
27,KAS_GEL_3677_23C_rev_1xC.bmp,161.89,197.33,-145.84,10.66
28,KAS_GEL_3677_23C_rev_1xC.bmp,164.83,182.83,131.74,2.74
29,KAS_GEL_3677_26C_1.bmp,161.79,191.83,-139.09,10.29
30,KAS_GEL_3677_26C_1.bmp,161.56,178.17,137.54,2.68
