 ,Label,Min,Max,Angle,Length
1,KAS_L_0244_01_1.bmp,68.27,160.07,-10.69,6.90
2,KAS_L_0244_01_1.bmp,81.87,154.33,-101.67,2.59
3,KAS_L_0244_02_rev_1xL.bmp,74.68,129.94,-25.95,7.01
4,KAS_L_0244_02_rev_1xL.bmp,73.39,149.33,-119.63,2.63
5,KAS_L_0244_04_2xL.bmp,81.19,147.62,55.80,6.89
6,KAS_L_0244_04_2xL.bmp,78.64,147.67,-30.30,2.81
7,KAS_L_0244_04_2xL.bmp,75.32,140.93,-4.41,7.10
8,KAS_L_0244_04_2xL.bmp,84.06,154.61,-95.96,2.83
9,KAS_L_0244_04_rev_1xCL.bmp,75.73,130.62,-45.16,7.77
10,KAS_L_0244_04_rev_1xCL.bmp,83.77,136.52,46.44,2.65
11,KAS_L_0244_05_axT.bmp,86.96,130.83,-26.04,6.10
12,KAS_L_0244_05_axT.bmp,87.52,129.33,-118.84,2.48
13,KAS_L_0244_06_1.bmp,61.72,142.02,-41.42,7.14
14,KAS_L_0244_06_1.bmp,89.87,151.83,47.26,2.63
15,KAS_L_0244_11_rev_1xR.bmp,80.10,168.19,5.18,6.75
16,KAS_L_0244_11_rev_1xR.bmp,86.29,158.54,-87.34,2.71
17,KAS_L_0244_13_1xR.bmp,86.39,137.00,-124.24,6.32
18,KAS_L_0244_13_1xR.bmp,86.01,149.67,149.51,2.61
19,KAS_L_0244_14_1x.bmp,70.04,154.67,-171.99,6.93
20,KAS_L_0244_14_1x.bmp,76.48,159.89,96.39,2.83
21,KAS_L_0244_15_2x_paint.bmp,68.42,148.89,-55.75,7.72
22,KAS_L_0244_15_2x_paint.bmp,66.96,172.50,-145.94,2.74
23,KAS_L_0244_15_2x_paint.bmp,76.00,144.00,-36.66,6.75
24,KAS_L_0244_15_2x_paint.bmp,74.29,167.91,-131.82,2.68
25,KAS_L_0244_18_1xC.bmp,77.78,136.02,-92.27,6.37
26,KAS_L_0244_18_1xC.bmp,78.77,153.06,177.51,2.42
27,KAS_L_0244_22_2x_paint.bmp,77.00,144.44,-92.54,7.10
28,KAS_L_0244_22_2x_paint.bmp,69.90,162.22,177.40,2.77
29,KAS_L_0244_23_rev_2xR.bmp,88.26,152.06,45.21,8.11
30,KAS_L_0244_23_rev_2xR.bmp,88.64,159.17,-39.70,2.89
31,KAS_L_0244_23_rev_2xR.bmp,83.33,153.59,0.00,7.24
32,KAS_L_0244_23_rev_2xR.bmp,96.78,143.67,-90.00,2.77
33,KAS_L_0244_24_rev_1x.bmp,75.91,145.39,-66.62,7.09
34,KAS_L_0244_24_rev_1x.bmp,75.69,166.69,-160.87,2.76
