 ,Label,Min,Max,Angle,Length
1,KHL_10517_01_2x.bmp,60.31,144.00,-47.57,21.80
2,KHL_10517_01_2x.bmp,89.58,151.56,35.54,2.10
3,KHL_10517_01_2x.bmp,73.76,165.67,-23.83,22.37
4,KHL_10517_01_2x.bmp,78.52,165.11,-119.74,2.10
5,KHL_10517_02_2x.bmp,83.38,131.21,175.85,22.55
6,KHL_10517_02_2x.bmp,89.03,137.52,-90.00,2.44
7,KHL_10517_02_2x.bmp,73.71,132.67,-149.44,18.60
8,KHL_10517_02_2x.bmp,91.31,151.19,119.74,1.99
9,KHL_10517_02_rev_1x.bmp,67.16,124.33,125.30,21.18
10,KHL_10517_02_rev_1x.bmp,76.58,147.67,30.96,2.15
11,KHL_10517_03_rev_4x.bmp,59.42,124.38,-44.13,23.39
12,KHL_10517_03_rev_4x.bmp,114.45,144.33,-137.73,1.84
13,KHL_10517_03_rev_4x.bmp,76.39,122.60,144.50,24.30
14,KHL_10517_03_rev_4x.bmp,80.42,147.22,-126.87,1.97
15,KHL_10517_03_rev_4x.bmp,73.30,143.37,166.76,22.02
16,KHL_10517_03_rev_4x.bmp,85.88,138.07,75.07,1.96
17,KHL_10517_04_3x.bmp,83.42,146.50,167.08,21.93
18,KHL_10517_04_3x.bmp,89.78,144.78,78.69,1.96
19,KHL_10517_04_3x.bmp,80.58,146.00,0.00,17.93
20,KHL_10517_04_3x.bmp,95.02,155.59,-90.00,2.10
21,KHL_10517_04_3x.bmp,87.08,131.67,152.58,18.88
22,KHL_10517_04_3x.bmp,96.85,149.58,61.70,1.87
23,KHL_10517_04_rev_1x.bmp,80.06,142.67,18.98,20.86
24,KHL_10517_04_rev_1x.bmp,86.76,149.96,111.80,2.11
25,KHL_10517_05_rev_5x.bmp,71.31,136.83,156.71,21.75
26,KHL_10517_05_rev_5x.bmp,78.01,155.89,-113.20,1.90
27,KHL_10517_05_rev_5x.bmp,71.05,123.75,-2.71,21.38
28,KHL_10517_05_rev_5x.bmp,76.23,150.67,90.00,1.93
29,KHL_10517_05_rev_5x.bmp,69.12,117.67,162.97,22.85
30,KHL_10517_05_rev_5x.bmp,80.91,135.26,68.20,1.98
31,KHL_10517_06_3x.bmp,79.94,134.50,-21.22,22.94
32,KHL_10517_06_3x.bmp,91.03,162.26,-113.63,2.18
33,KHL_10517_06_3x.bmp,69.65,116.50,178.67,21.74
34,KHL_10517_06_3x.bmp,79.01,140.67,93.58,2.02
35,KHL_10517_06_3x.bmp,80.26,136.50,-3.90,22.22
36,KHL_10517_06_3x.bmp,84.34,144.67,-93.37,2.14
37,KHL_10517_06_rev_1x.bmp,74.28,120.67,-35.88,24.81
38,KHL_10517_06_rev_1x.bmp,85.39,174.11,51.84,2.21
39,KHL_10517_07_2x.bmp,85.53,148.33,-7.09,22.40
40,KHL_10517_07_2x.bmp,87.21,151.58,-96.71,2.15
41,KHL_10517_07_2x.bmp,89.79,130.50,4.30,21.86
42,KHL_10517_07_2x.bmp,108.26,131.67,-90.00,2.06
43,KHL_10517_07_rev_3x.bmp,99.12,136.83,9.57,21.27
44,KHL_10517_07_rev_3x.bmp,97.90,142.11,-76.76,2.16
45,KHL_10517_07_rev_3x.bmp,92.10,185.88,-147.99,20.26
46,KHL_10517_07_rev_3x.bmp,100.96,154.78,128.16,2.22
47,KHL_10517_07_rev_3x.bmp,87.19,130.59,65.84,25.49
48,KHL_10517_07_rev_3x.bmp,99.74,139.11,-22.38,2.32
