 ,Label,Min,Max,Angle,Length
1,KHL_10360_13_1xC.bmp,111.18,254.00,-75.26,11.89
2,KHL_10360_13_1xC.bmp,128.21,210.33,-165.13,3.68
3,KHL_10360_13_1xC_rev_1xBR.bmp,137.36,176.75,-93.55,11.71
4,KHL_10360_13_1xC_rev_1xBR.bmp,136.42,199.00,177.02,3.03
5,KHL_10360_13_1xC_rev_1xBR.bmp,115.97,181.83,95.50,12.50
6,KHL_10360_13_1xC_rev_1xBR.bmp,113.78,186.12,3.96,3.19
7,KHL_10360_16_rev_2xR.bmp,127.94,174.42,-139.57,11.92
8,KHL_10360_16_rev_2xR.bmp,135.99,191.25,140.19,3.28
9,KHL_10360_17_2x_L_T.bmp,136.24,177.75,-52.35,11.50
10,KHL_10360_17_2x_L_T.bmp,142.97,193.17,33.22,3.16
11,KHL_10360_17_2x_L_T.bmp,122.34,180.12,80.80,11.42
12,KHL_10360_17_2x_L_T.bmp,119.78,193.92,171.96,2.93
13,KHL_10360_18_1xT.bmp,106.44,182.58,17.45,11.55
14,KHL_10360_18_1xT.bmp,120.71,203.42,112.66,3.11
15,KHL_10360_18_rev_1xTR.bmp,125.69,190.67,9.41,11.17
16,KHL_10360_18_rev_1xTR.bmp,126.19,211.42,101.75,3.25
17,KHL_10360_21_1xC.bmp,113.26,197.17,-115.06,11.23
18,KHL_10360_21_1xC.bmp,142.05,189.42,157.29,2.94
19,KHL_10360_23_rev_1xB.bmp,130.33,177.92,-119.55,12.45
20,KHL_10360_23_rev_1xB.bmp,128.65,193.42,153.69,3.13
21,KHL_10360_24_rev_1xT.bmp,128.86,185.00,-63.73,10.89
22,KHL_10360_24_rev_1xT.bmp,146.79,182.42,-154.23,3.04
23,KHL_10360_25_1xTR.bmp,117.06,201.77,68.84,13.15
24,KHL_10360_25_1xTR.bmp,116.84,199.19,156.71,3.61
25,KHL_10360_26_1xB.bmp,114.75,243.11,-83.52,11.54
26,KHL_10360_26_1xB.bmp,121.73,200.75,-171.87,3.12
27,KHL_10360_26_rev_1xCR.bmp,103.64,186.56,-42.15,11.64
28,KHL_10360_26_rev_1xCR.bmp,105.03,191.33,-131.01,2.88
29,KHL_10360_31_1xBR.bmp,106.92,169.50,31.21,11.12
30,KHL_10360_31_1xBR.bmp,107.06,179.50,123.69,3.07
31,KHL_10360_32_1xT.bmp,88.94,179.32,7.44,11.67
32,KHL_10360_32_1xT.bmp,124.60,180.08,97.32,3.13
