 ,Label,Min,Max,Angle,Length
1,KAS_L_1726_img002_rev_1x.bmp,84.66,163.12,-44.27,7.05
2,KAS_L_1726_img002_rev_1x.bmp,87.78,178.33,-139.09,2.56
3,KAS_L_1726_img003_rev_1x.bmp,113.49,187.92,-107.70,6.18
4,KAS_L_1726_img003_rev_1x.bmp,90.80,193.62,-19.29,2.62
5,KAS_L_1726_img004_3x.bmp,71.49,158.62,-86.50,6.25
6,KAS_L_1726_img004_3x.bmp,83.04,196.58,-2.73,2.68
7,KAS_L_1726_img004_3x.bmp,86.91,162.63,-50.01,5.04
8,KAS_L_1726_img004_3x.bmp,101.00,152.48,-149.53,2.45
9,KAS_L_1726_img005_rev_1x.bmp,71.90,148.89,-98.30,6.12
10,KAS_L_1726_img005_rev_1x.bmp,88.43,154.22,174.56,2.70
11,KAS_L_1726_img006_1x_paint.bmp,84.15,175.67,118.07,6.43
12,KAS_L_1726_img006_1x_paint.bmp,68.19,169.25,-171.03,2.48
13,KAS_L_1726_img007_rev_2x.bmp,73.10,147.52,23.84,5.96
14,KAS_L_1726_img007_rev_2x.bmp,94.83,161.83,-69.78,2.63
15,KAS_L_1726_img007_rev_2x.bmp,72.10,143.83,-147.62,6.06
16,KAS_L_1726_img007_rev_2x.bmp,97.01,156.62,123.69,2.72
17,KAS_L_1726_img008_rev_1x.bmp,75.34,145.00,-120.96,5.84
18,KAS_L_1726_img008_rev_1x.bmp,70.45,170.33,148.57,2.70
19,KAS_L_1726_img009_rev_1xl.bmp,65.81,137.67,-120.34,6.06
20,KAS_L_1726_img009_rev_1xl.bmp,84.34,165.71,-26.57,2.50
21,KAS_L_1726_img011_2xA.bmp,64.39,151.58,-83.29,6.45
22,KAS_L_1726_img011_2xA.bmp,72.78,175.83,-174.81,2.69
23,KAS_L_1726_img011_2xA.bmp,65.62,147.83,-132.51,6.25
24,KAS_L_1726_img011_2xA.bmp,81.85,165.92,144.16,2.79
25,KAS_L_1726_img011_rev_1xB.bmp,82.20,142.11,-88.90,6.56
26,KAS_L_1726_img011_rev_1xB.bmp,82.78,160.22,180.00,2.61
27,KAS_L_1726_img017_1x.bmp,98.95,206.56,167.69,7.06
28,KAS_L_1726_img017_1x.bmp,101.46,187.78,87.27,2.61
29,KAS_L_1726_img018_1x.bmp,80.81,164.12,-34.62,6.46
30,KAS_L_1726_img018_1x.bmp,99.85,169.54,-125.22,2.64
31,KAS_L_1726_img019_3x.bmp,83.62,160.33,-93.99,5.35
32,KAS_L_1726_img019_3x.bmp,94.53,158.83,177.14,2.62
33,KAS_L_1726_img019_3x.bmp,79.49,148.21,-151.29,6.09
34,KAS_L_1726_img019_3x.bmp,86.73,181.58,117.90,2.47
35,KAS_L_1726_img019_rev_4x.bmp,76.22,163.33,36.43,6.58
36,KAS_L_1726_img019_rev_4x.bmp,95.02,171.33,-55.49,2.36
37,KAS_L_1726_img019_rev_4x.bmp,75.77,148.33,6.84,6.32
38,KAS_L_1726_img019_rev_4x.bmp,87.83,199.78,101.31,2.65
39,KAS_L_1726_img019_rev_4x.bmp,83.79,155.04,-114.23,5.52
40,KAS_L_1726_img019_rev_4x.bmp,102.36,182.17,154.80,2.39
41,KAS_L_1726_img020_1x.bmp,73.86,137.75,-82.41,5.70
42,KAS_L_1726_img020_1x.bmp,78.76,169.79,-174.29,2.53
43,KAS_L_1726_img020_rev_1x_paint.bmp,69.86,152.33,-20.56,6.35
44,KAS_L_1726_img020_rev_1x_paint.bmp,85.24,150.00,66.04,2.47
45,KAS_L_1726_img020_rev_1x_paint.bmp,87.05,143.46,85.03,5.86
46,KAS_L_1726_img020_rev_1x_paint.bmp,104.22,171.12,-2.86,2.56
47,KAS_L_1726_img021_1x.bmp,80.78,163.63,-133.45,6.57
48,KAS_L_1726_img021_1x.bmp,90.05,170.89,136.97,2.62
49,KAS_L_1726_img021_rev_2x.bmp,70.42,170.42,178.83,6.21
50,KAS_L_1726_img021_rev_2x.bmp,82.14,172.75,90.00,2.49
51,KAS_L_1726_img021_rev_2x.bmp,91.04,141.50,12.41,6.41
52,KAS_L_1726_img021_rev_2x.bmp,114.04,165.25,106.70,2.65
53,KAS_L_1726_img023_1x.bmp,74.54,154.22,145.10,6.56
54,KAS_L_1726_img023_1x.bmp,90.95,135.98,57.09,2.49
