 ,Label,Min,Max,Angle,Length
1,KHL_10780_image017.jpg,60.09,134.37,-48.25,10.20
2,KHL_10780_image017.jpg,63.59,174.07,-142.22,3.21
3,KHL_10780_image017.jpg,70.87,171.56,-4.64,9.39
4,KHL_10780_image017.jpg,70.22,157.00,87.61,3.03
5,KHL_10780_image018.jpg,61.36,145.67,-7.93,10.05
6,KHL_10780_image018.jpg,58.88,154.33,-98.47,3.02
7,KHL_10780_image019.jpg,57.34,147.00,18.90,9.90
8,KHL_10780_image019.jpg,65.54,143.89,-70.02,2.94
9,KHL_10780_image020.jpg,49.56,136.42,-127.17,9.51
10,KHL_10780_image020.jpg,57.64,136.26,150.83,3.08
11,KHL_10780_image021.jpg,59.55,128.83,-21.49,8.59
12,KHL_10780_image021.jpg,56.74,124.50,-110.41,2.85
13,KHL_10780_image022.jpg,64.90,157.50,-114.60,9.82
14,KHL_10780_image022.jpg,71.60,149.50,162.72,2.97
15,KHL_10780_image022.jpg,58.56,126.33,-168.91,9.79
16,KHL_10780_image022.jpg,54.31,160.67,-77.35,3.16
17,KHL_10780_image023.jpg,58.97,146.33,131.72,10.14
18,KHL_10780_image023.jpg,64.88,137.17,41.53,2.99
19,KHL_10780_image023.jpg,69.47,151.85,176.52,9.30
20,KHL_10780_image023.jpg,69.44,178.15,87.61,3.07
21,KHL_10780_image026.jpg,59.91,133.00,-113.63,9.90
22,KHL_10780_image026.jpg,62.50,154.33,158.20,3.08
23,KHL_10780_image027.jpg,60.29,158.00,-63.97,9.03
24,KHL_10780_image027.jpg,60.21,151.50,24.44,3.07
25,KHL_10780_image029.jpg,64.98,142.00,-7.08,9.21
26,KHL_10780_image029.jpg,58.67,122.50,-95.71,3.17
27,KHL_10780_image030.jpg,63.13,120.00,-119.92,10.12
28,KHL_10780_image030.jpg,59.36,149.83,152.49,3.41
29,KHL_10780_image032.jpg,60.21,135.74,-28.20,9.83
30,KHL_10780_image032.jpg,60.60,144.00,-116.57,3.14
31,KHL_10780_image035.jpg,58.25,131.67,-112.74,9.27
32,KHL_10780_image035.jpg,64.74,143.50,-23.84,2.92
33,KHL_10780_image035.jpg,52.91,133.15,-101.01,9.58
34,KHL_10780_image035.jpg,59.87,145.00,173.93,2.97
35,KHL_10780_image036.jpg,50.78,139.81,-25.73,9.69
36,KHL_10780_image036.jpg,57.85,141.42,-116.00,2.89
