 ,Label,Min,Max,Angle,Length
1,KHL_14355_01_1xT_paint.bmp,90.25,159.15,-178.80,20.08
2,KHL_14355_01_1xT_paint.bmp,93.40,162.44,94.40,2.19
3,KHL_14355_02_2xC_paint.bmp,98.42,172.81,-74.86,23.32
4,KHL_14355_02_2xC_paint.bmp,110.32,201.92,-166.46,2.33
5,KHL_14355_02_2xC_paint.bmp,93.69,213.17,153.73,21.73
6,KHL_14355_02_2xC_paint.bmp,124.65,198.12,-116.93,2.23
7,KHL_14355_06_1xC_paint.bmp,71.23,148.03,138.56,22.02
8,KHL_14355_06_1xC_paint.bmp,80.74,184.00,47.16,2.36
9,KHL_14355_06_rev_1xL.bmp,81.50,150.22,-58.31,21.66
10,KHL_14355_06_rev_1xL.bmp,80.93,144.17,-150.69,2.06
11,KHL_14355_07_3x_paint.bmp,94.43,146.31,-115.91,18.16
12,KHL_14355_07_3x_paint.bmp,102.84,171.67,158.20,2.04
13,KHL_14355_07_3x_paint.bmp,101.22,170.92,-125.99,19.15
14,KHL_14355_07_3x_paint.bmp,119.40,166.33,143.57,2.19
15,KHL_14355_07_3x_paint.bmp,66.53,148.42,58.99,21.09
16,KHL_14355_07_3x_paint.bmp,87.37,168.50,146.09,2.31
17,KHL_14355_08_1xTR_paint.bmp,83.29,144.08,55.73,20.58
18,KHL_14355_08_1xTR_paint.bmp,95.80,176.75,147.22,2.21
19,KHL_14355_13_rev_2x_R_B.bmp,102.28,157.33,21.12,20.63
20,KHL_14355_13_rev_2x_R_B.bmp,102.62,169.58,111.50,2.23
21,KHL_14355_13_rev_2x_R_B.bmp,85.31,183.07,62.46,18.80
22,KHL_14355_13_rev_2x_R_B.bmp,88.37,177.75,149.18,2.09
23,KHL_14355_14_4x.bmp,95.21,141.26,66.04,21.92
24,KHL_14355_14_4x.bmp,87.89,149.12,155.17,2.33
25,KHL_14355_14_4x.bmp,86.81,141.00,25.42,22.53
26,KHL_14355_14_4x.bmp,91.36,156.67,122.01,2.38
27,KHL_14355_14_4x.bmp,84.87,179.42,-15.24,21.09
28,KHL_14355_14_4x.bmp,89.77,174.92,69.78,2.13
29,KHL_14355_14_4x.bmp,87.32,198.67,-42.55,22.45
30,KHL_14355_14_4x.bmp,89.08,135.90,46.97,2.15
31,KHL_14355_21_1xCL_paint.bmp,99.66,155.69,153.49,20.41
32,KHL_14355_21_1xCL_paint.bmp,107.11,181.17,59.62,2.12
33,KHL_14355_21_rev_1xBR_paint.bmp,93.05,154.42,178.70,20.79
34,KHL_14355_21_rev_1xBR_paint.bmp,99.83,161.33,90.00,2.20
