 ,Label,Min,Max,Angle,Length
1,KHL_10272_01_1x_paint.bmp,63.14,106.42,-81.22,10.18
2,KHL_10272_01_1x_paint.bmp,65.98,103.33,-170.96,2.81
3,KHL_10272_02.bmp,62.58,125.41,114.91,10.07
4,KHL_10272_02.bmp,58.61,117.33,22.95,2.91
5,KHL_10272_04_rev_1x.bmp,48.64,109.90,-120.63,10.32
6,KHL_10272_04_rev_1x.bmp,53.36,119.85,151.06,3.06
7,KHL_10272_05_2x_paint.bmp,67.00,118.67,-41.25,9.89
8,KHL_10272_05_2x_paint.bmp,63.03,114.33,48.40,3.00
9,KHL_10272_05_2x_paint.bmp,53.59,107.00,-15.42,9.83
10,KHL_10272_05_2x_paint.bmp,59.74,99.89,72.35,2.91
11,KHL_10272_07_1x_paint.bmp,64.11,102.17,-11.86,10.32
12,KHL_10272_07_1x_paint.bmp,63.44,111.45,78.37,2.92
13,KHL_10272_09_1xR_paint.bmp,53.80,87.83,-115.10,10.47
14,KHL_10272_09_1xR_paint.bmp,59.34,99.92,155.02,3.06
15,KHL_10272_10_1x_paint.bmp,66.35,106.00,-20.97,9.68
16,KHL_10272_10_1x_paint.bmp,70.92,88.04,-104.26,2.64
17,KHL_10272_14_1x_paint.bmp,88.48,115.33,-124.68,10.07
18,KHL_10272_14_1x_paint.bmp,85.46,159.33,148.67,2.83
19,KHL_10272_17_1xL.bmp,83.21,114.08,-104.40,9.62
20,KHL_10272_17_1xL.bmp,85.46,137.67,165.81,2.83
21,KHL_10272_18_1x_paint.bmp,81.75,123.00,-128.70,10.14
22,KHL_10272_18_1x_paint.bmp,96.80,133.52,147.44,2.96
23,KHL_10272_25_1x_paint.bmp,83.94,113.58,-130.44,9.81
24,KHL_10272_25_1x_paint.bmp,76.57,107.59,-39.22,2.36
25,KHL_10272_31_1x.bmp,74.21,104.79,-40.75,9.31
26,KHL_10272_31_1x.bmp,77.56,119.32,-133.73,2.67
