 ,Label,Min,Max,Angle,Length
1,KHL_14333_03_1xT_paint.bmp,85.88,152.08,2.52,12.17
2,KHL_14333_03_1xT_paint.bmp,98.10,155.72,87.56,1.98
3,KHL_14333_07_1xCR_paint.bmp,80.90,143.33,60.66,13.11
4,KHL_14333_07_1xCR_paint.bmp,98.98,173.33,155.43,2.42
5,KHL_14333_08_rev_1x.bmp,57.59,135.42,85.74,12.73
6,KHL_14333_08_rev_1x.bmp,64.45,140.19,176.07,2.15
7,KHL_14333_11_rev_1x.bmp,91.58,129.72,2.54,10.89
8,KHL_14333_11_rev_1x.bmp,95.50,124.48,95.08,1.90
9,KHL_14333_12_rev_1x_paint.bmp,63.61,149.53,130.42,12.47
10,KHL_14333_12_rev_1x_paint.bmp,58.58,148.85,-143.97,2.00
11,KHL_14333_18_rev_1x_paint.bmp,103.06,145.76,8.66,13.25
12,KHL_14333_18_rev_1x_paint.bmp,100.77,163.69,97.48,2.10
13,KHL_14333_19_rev_1x_paint.bmp,54.16,101.19,-34.38,13.46
14,KHL_14333_19_rev_1x_paint.bmp,53.77,115.72,57.82,2.21
15,KHL_14333_20_rev_1x_paint.bmp,87.04,130.47,-17.51,12.77
16,KHL_14333_20_rev_1x_paint.bmp,92.22,118.17,-105.10,2.06
17,KHL_14333_22_rev_1x.bmp,73.78,128.02,-83.64,11.95
18,KHL_14333_22_rev_1x.bmp,63.14,126.71,4.00,2.10
19,KHL_14333_23_1x_paint.bmp,84.71,108.02,-163.71,11.90
20,KHL_14333_23_1x_paint.bmp,84.86,123.34,109.78,1.99
