 ,Label,Min,Max,Angle,Length
1,KHL_9093_01_rev_1xB_paint.bmp,89.97,119.67,-120.42,13.62
2,KHL_9093_01_rev_1xB_paint.bmp,91.28,137.17,156.43,3.23
3,KHL_9093_06_1x_paint.bmp,64.38,145.54,93.80,12.81
4,KHL_9093_06_1x_paint.bmp,70.13,145.98,-175.38,3.13
5,KHL_9093_08_rev_1x.bmp,63.24,142.83,-78.83,13.00
6,KHL_9093_08_rev_1x.bmp,66.94,134.29,-167.47,2.90
7,KHL_9093_16_1xT.bmp,80.34,136.67,-173.97,11.69
8,KHL_9093_16_1xT.bmp,80.14,159.42,-79.88,2.69
9,KHL_9093_17_2xR_paint.bmp,69.52,162.08,-39.08,12.09
10,KHL_9093_17_2xR_paint.bmp,89.59,143.90,-130.45,2.52
11,KHL_9093_17_2xR_paint.bmp,85.28,126.22,-28.77,12.22
12,KHL_9093_17_2xR_paint.bmp,88.09,140.79,-117.82,2.56
13,KHL_9093_18_1xR.bmp,75.77,131.42,-110.06,12.67
14,KHL_9093_18_1xR.bmp,82.66,154.67,161.11,2.53
15,KHL_9093_22_rev_1xBL_paint.bmp,64.47,181.04,148.41,12.42
16,KHL_9093_22_rev_1xBL_paint.bmp,84.39,142.75,-114.93,2.47
17,KHL_9093_23_1xTR.bmp,87.03,136.35,-50.45,11.72
18,KHL_9093_23_1xTR.bmp,88.33,152.50,-140.19,2.46
19,KHL_9093_24_1xB_paint.bmp,74.05,171.27,-112.63,12.52
20,KHL_9093_24_1xB_paint.bmp,83.68,179.92,162.01,2.55
21,KHL_9093_24_rev_1xR.bmp,74.46,158.75,-91.15,12.51
22,KHL_9093_24_rev_1xR.bmp,82.54,146.29,-178.00,2.71
23,KHL_9093_25_1xTR.bmp,51.03,122.45,-130.31,12.33
24,KHL_9093_25_1xTR.bmp,87.73,129.19,143.71,2.50
