 ,Label,Min,Max,Angle,Length
1,KAS_GEL_3519_04_1x.bmp,66.74,129.24,-7.05,15.40
2,KAS_GEL_3519_04_1x.bmp,62.23,148.30,-110.49,2.22
3,KAS_GEL_3519_07_1x.bmp,56.52,133.54,14.63,12.47
4,KAS_GEL_3519_07_1x.bmp,84.82,140.17,111.64,2.13
5,KAS_GEL_3519_08_rev_1x.bmp,64.70,134.00,23.67,14.20
6,KAS_GEL_3519_08_rev_1x.bmp,69.89,143.88,118.02,2.21
7,KAS_GEL_3519_09_rev_1x.bmp,77.76,127.75,-11.24,15.03
8,KAS_GEL_3519_09_rev_1x.bmp,80.06,136.50,74.52,2.12
9,KAS_GEL_3519_14_1x_paint.bmp,61.11,127.17,43.08,12.85
10,KAS_GEL_3519_14_1x_paint.bmp,65.64,141.04,144.05,2.36
11,KAS_GEL_3519_16_rev_1x_paint.bmp,77.96,128.33,14.12,13.16
12,KAS_GEL_3519_16_rev_1x_paint.bmp,82.81,163.39,109.76,2.30
13,KAS_GEL_3519_17_1x_paint.bmp,78.87,132.68,98.03,12.47
14,KAS_GEL_3519_17_1x_paint.bmp,78.57,144.19,10.20,2.13
15,KAS_GEL_3519_18_rev_1x_paint.bmp,82.38,152.39,-174.77,14.17
16,KAS_GEL_3519_18_rev_1x_paint.bmp,84.26,157.86,-79.89,2.15
17,KAS_GEL_3519_19_1x_paint.bmp,90.73,128.12,-55.44,14.38
18,KAS_GEL_3519_19_1x_paint.bmp,93.53,131.11,-143.59,2.09
19,KAS_GEL_3519_20_1x_paint.bmp,82.18,131.67,99.29,13.85
20,KAS_GEL_3519_20_1x_paint.bmp,84.35,128.33,3.54,2.04
21,KAS_GEL_3519_24_rev_1_paint.bmp,79.32,139.41,74.36,13.90
22,KAS_GEL_3519_24_rev_1_paint.bmp,82.33,132.75,-2.44,1.98
