 ,Label,Min,Max,Angle,Length
1,KAS_L_0140_01_1x.bmp,101.59,181.17,-90.00,4.85
2,KAS_L_0140_01_1x.bmp,12.44,182.25,0.00,2.20
3,KAS_L_0140_01_1x.bmp,92.53,172.00,-106.31,5.36
4,KAS_L_0140_01_1x.bmp,102.10,176.50,-14.04,2.50
5,KAS_L_0140_02_3x.bmp,102.96,172.42,-97.94,5.41
6,KAS_L_0140_02_3x.bmp,117.86,183.79,-3.18,2.30
7,KAS_L_0140_02_3x.bmp,109.19,177.50,-32.15,5.13
8,KAS_L_0140_02_3x.bmp,111.17,167.56,-121.43,2.64
9,KAS_L_0140_02_3x.bmp,108.29,174.31,80.31,5.21
10,KAS_L_0140_02_3x.bmp,104.83,170.83,0.00,2.36
11,KAS_L_0140_02_rev_1x.bmp,111.47,174.58,-37.41,5.36
12,KAS_L_0140_02_rev_1x.bmp,115.50,172.58,-135.00,2.49
13,KAS_L_0140_03_rev_1x.bmp,113.34,170.50,-80.54,5.36
14,KAS_L_0140_03_rev_1x.bmp,115.06,199.42,8.13,2.61
15,KAS_L_0140_04_1x.bmp,105.15,179.11,-12.53,5.80
16,KAS_L_0140_04_1x.bmp,112.47,172.89,-101.89,2.45
17,KAS_L_0140_04_rev_2x.bmp,109.48,155.75,-117.15,5.56
18,KAS_L_0140_04_rev_2x.bmp,114.76,174.81,-20.22,2.64
19,KAS_L_0140_04_rev_2x.bmp,106.59,170.00,16.31,5.32
20,KAS_L_0140_04_rev_2x.bmp,111.22,179.89,101.31,2.49
21,KAS_L_0140_05_3x.bmp,96.48,152.17,-30.96,5.79
22,KAS_L_0140_05_3x.bmp,102.48,169.08,-121.61,1.99
23,KAS_L_0140_05_3x.bmp,101.99,163.83,-91.36,5.32
24,KAS_L_0140_05_3x.bmp,107.61,178.33,176.99,2.39
25,KAS_L_0140_05_3x.bmp,104.33,152.33,-107.59,5.42
26,KAS_L_0140_05_3x.bmp,105.47,173.00,-15.52,2.41
27,KAS_L_0140_05_3x.bmp,102.39,163.37,-53.67,5.37
28,KAS_L_0140_05_3x.bmp,100.37,155.15,38.66,2.42
29,KAS_L_0140_06_rev_1x.bmp,105.01,169.44,79.82,5.09
30,KAS_L_0140_06_rev_1x.bmp,120.94,176.38,-6.34,2.34
31,KAS_L_0140_07_2x.bmp,97.05,173.74,62.10,4.86
32,KAS_L_0140_07_2x.bmp,101.87,186.08,157.62,2.26
33,KAS_L_0140_07_2x.bmp,105.60,177.50,-161.15,5.41
34,KAS_L_0140_07_2x.bmp,114.75,177.08,111.80,2.74
35,KAS_L_0140_11_1x.bmp,106.35,179.98,8.13,5.31
36,KAS_L_0140_11_1x.bmp,104.92,166.21,-79.38,2.10
37,KAS_L_0140_12_1x.bmp,118.64,176.11,102.68,5.25
38,KAS_L_0140_12_1x.bmp,110.10,171.33,-164.05,2.67
39,KAS_L_0140_14_rev_1x.bmp,100.50,176.46,0.00,5.51
40,KAS_L_0140_14_rev_1x.bmp,112.93,158.79,-86.63,2.24
41,KAS_L_0140_15_1x.bmp,93.00,174.50,-4.09,5.31
42,KAS_L_0140_15_1x.bmp,105.48,175.00,-96.71,2.16
43,KAS_L_0140_17_1x.bmp,98.70,178.00,-52.85,5.25
