 ,Label,Min,Max,Angle,Length
1,KHL_9569_02.bmp,82.08,144.67,-128.19,12.09
2,KHL_9569_02.bmp,77.12,136.89,142.59,2.63
3,KHL_9569_03.bmp,60.29,134.83,-29.23,12.10
4,KHL_9569_03.bmp,66.10,150.33,61.19,2.87
5,KHL_9569_04.bmp,66.17,126.96,161.16,11.29
6,KHL_9569_04.bmp,72.72,137.70,-110.85,2.84
7,KHL_9569_05_1x.bmp,83.22,129.11,-125.19,12.02
8,KHL_9569_05_1x.bmp,81.04,135.17,147.72,2.83
9,KHL_9569_05_1x_rev.bmp,67.68,142.67,-99.55,12.98
10,KHL_9569_05_1x_rev.bmp,65.21,139.78,172.57,2.92
11,KHL_9569_06.bmp,72.48,125.19,-124.57,11.32
12,KHL_9569_06.bmp,71.24,134.41,147.09,2.61
13,KHL_9569_07.bmp,60.80,124.22,107.91,13.07
14,KHL_9569_07.bmp,63.50,150.67,-163.07,2.99
15,KHL_9569_10.bmp,64.88,127.85,-16.21,11.33
16,KHL_9569_10.bmp,64.51,133.33,70.71,2.67
17,KHL_9569_11_1x_rev.bmp,65.96,108.67,49.95,11.36
18,KHL_9569_11_1x_rev.bmp,70.32,146.11,146.31,2.77
19,KHL_9569_12.bmp,68.44,123.89,-46.59,12.80
20,KHL_9569_12.bmp,71.92,124.41,-135.00,3.03
21,KHL_9569_13.bmp,69.68,130.00,106.93,12.18
22,KHL_9569_13.bmp,69.91,139.22,-164.05,2.65
23,KHL_9569_14.bmp,75.88,131.78,-70.07,10.75
24,KHL_9569_14.bmp,73.51,132.22,17.65,2.86
25,KHL_9569_15.bmp,63.18,126.83,85.11,14.79
26,KHL_9569_15.bmp,68.71,133.52,177.51,2.91
27,KHL_9569_16.bmp,60.29,142.33,-71.10,14.78
28,KHL_9569_16.bmp,66.33,143.56,-162.35,2.99
29,KHL_9569_17.bmp,61.90,136.67,-86.05,14.73
30,KHL_9569_17.bmp,66.92,147.41,2.29,3.15
31,KHL_9569_22.bmp,54.37,130.33,21.71,13.95
32,KHL_9569_22.bmp,63.47,138.89,114.44,3.01
33,KHL_9569_23.bmp,63.37,128.33,-90.57,12.68
34,KHL_9569_23.bmp,63.53,143.44,180.00,2.98
35,KHL_9569_24.bmp,76.16,125.21,-115.97,11.04
36,KHL_9569_24.bmp,75.13,147.44,154.54,2.91
37,KHL_9569_25.bmp,51.91,138.67,121.20,16.07
38,KHL_9569_25.bmp,65.95,133.44,-153.43,3.10
39,KHL_9569_26.bmp,82.44,120.96,67.38,9.77
40,KHL_9569_26.bmp,81.65,119.15,160.71,2.59
