 ,Label,Min,Max,Angle,Length
1,KAS_GEL_5032_01_rev_1xL.bmp,68.86,131.48,-3.73,5.49
2,KAS_GEL_5032_01_rev_1xL.bmp,76.57,124.89,-91.01,2.39
3,KAS_GEL_5032_03_rev_1x.bmp,71.85,135.19,-36.61,6.18
4,KAS_GEL_5032_03_rev_1x.bmp,65.83,150.71,-136.61,2.38
5,KAS_GEL_5032_06_rev_1xC.bmp,74.11,152.18,-60.86,5.22
6,KAS_GEL_5032_06_rev_1xC.bmp,64.10,156.56,34.13,2.28
7,KAS_GEL_5032_07_1x_paint.bmp,64.34,145.98,29.77,6.55
8,KAS_GEL_5032_07_1x_paint.bmp,79.75,157.28,-66.40,2.36
9,KAS_GEL_5032_09_rev_1x.bmp,56.94,133.94,-19.67,5.86
10,KAS_GEL_5032_09_rev_1x.bmp,79.41,134.78,-116.80,2.33
11,KAS_GEL_5032_10_rev_1xC_paint.bmp,59.33,126.44,-144.97,5.49
12,KAS_GEL_5032_10_rev_1xC_paint.bmp,60.69,108.44,119.16,2.28
13,KAS_GEL_5032_12_1xT.bmp,63.21,139.33,-31.24,5.30
14,KAS_GEL_5032_12_1xT.bmp,57.27,133.17,62.98,2.36
15,KAS_GEL_5032_14_rev_1x_paint.bmp,68.55,136.94,-91.69,6.40
16,KAS_GEL_5032_14_rev_1x_paint.bmp,81.08,145.94,0.37,2.44
17,KAS_GEL_5032_16_1x.bmp,63.21,120.69,38.21,5.40
18,KAS_GEL_5032_16_1x.bmp,67.44,135.67,-50.26,2.43
19,KAS_GEL_5032_18_1x.bmp,68.86,120.18,44.72,6.03
20,KAS_GEL_5032_18_1x.bmp,71.08,140.06,127.27,2.43
21,KAS_GEL_5032_20_1x.bmp,60.15,137.36,-37.25,5.06
22,KAS_GEL_5032_20_1x.bmp,69.51,144.69,54.46,2.35
23,KAS_GEL_5032_21_rev_1x.bmp,79.15,139.81,-75.81,5.65
24,KAS_GEL_5032_21_rev_1x.bmp,80.06,138.78,-168.27,2.27
25,KAS_GEL_5032_28_1x.bmp,79.62,125.34,-113.48,5.59
26,KAS_GEL_5032_28_1x.bmp,78.82,131.28,-21.33,2.37
