 ,Label,Min,Max,Angle,Length
1,KAS_L_1226_07_1.bmp,89.91,179.08,-56.31,5.45
2,KAS_L_1226_07_1.bmp,108.18,197.56,-155.81,2.38
3,KAS_L_1226_08_1xB.bmp,101.36,168.94,-69.59,5.60
4,KAS_L_1226_08_1xB.bmp,103.93,172.00,29.93,2.40
5,KAS_L_1226_09_1.bmp,95.46,161.72,-95.67,5.32
6,KAS_L_1226_09_1.bmp,100.47,162.83,6.06,2.39
7,KAS_L_1226_15_1x.bmp,93.29,187.31,-143.76,5.49
8,KAS_L_1226_15_1x.bmp,98.40,172.27,124.10,2.42
9,KAS_L_1226_17_rev_1x.bmp,91.39,181.43,-62.48,5.09
10,KAS_L_1226_17_rev_1x.bmp,105.77,168.11,-152.76,2.39
11,KAS_L_1226_21_1x.bmp,93.81,180.96,89.55,5.29
12,KAS_L_1226_21_1x.bmp,105.35,175.67,1.91,2.52
13,KAS_L_1226_22_rev_1x.bmp,93.33,165.36,-23.37,5.40
14,KAS_L_1226_22_rev_1x.bmp,106.64,166.37,-113.91,2.43
15,KAS_L_1226_23_rev_1x.bmp,91.47,172.33,-11.64,5.72
16,KAS_L_1226_23_rev_1x.bmp,108.68,176.72,-105.34,2.46
17,KAS_L_1226_27_1xR.bmp,77.45,131.45,-24.46,4.87
18,KAS_L_1226_27_1xR.bmp,84.78,151.06,56.59,2.36
19,KAS_L_1226_29_1xL.bmp,72.60,158.00,-71.49,4.96
20,KAS_L_1226_29_1xL.bmp,78.83,157.25,4.49,2.21
21,KAS_L_1226_35_1x.bmp,76.95,157.67,-86.30,5.53
22,KAS_L_1226_35_1x.bmp,82.18,170.21,-178.92,2.50
