 ,Label,Min,Max,Angle,Length
1,KHL_9955_05_1xC.bmp,77.63,144.00,-32.95,10.13
2,KHL_9955_05_1xC.bmp,78.49,149.33,58.50,3.44
3,KHL_9955_05_rev_1xL.bmp,74.48,146.75,25.10,10.29
4,KHL_9955_05_rev_1xL.bmp,81.91,140.47,-62.00,3.00
5,KHL_9955_08_1xB.bmp,74.82,117.00,168.50,9.48
6,KHL_9955_08_1xB.bmp,81.73,124.92,80.34,3.00
7,KHL_9955_08_rev_2x.bmp,70.06,127.33,-160.09,10.08
8,KHL_9955_08_rev_2x.bmp,81.33,114.50,112.25,2.99
9,KHL_9955_08_rev_2x.bmp,72.89,125.00,112.19,10.34
10,KHL_9955_08_rev_2x.bmp,73.63,125.33,19.18,3.07
11,KHL_9955_09_1xC.bmp,75.70,121.08,-45.11,11.11
12,KHL_9955_09_1xC.bmp,79.17,93.17,-137.00,3.19
13,KHL_9955_10_2xR.bmp,70.92,150.33,-59.35,9.88
14,KHL_9955_10_2xR.bmp,75.45,125.33,-149.42,3.22
15,KHL_9955_10_2xR.bmp,69.64,136.00,-56.46,10.32
16,KHL_9955_10_2xR.bmp,75.67,133.00,-146.95,3.12
17,KHL_9955_10_rev_1xR.bmp,73.97,127.50,-120.22,10.39
18,KHL_9955_10_rev_1xR.bmp,77.42,144.67,153.43,3.24
19,KHL_9955_17_1x.bmp,72.43,140.17,-140.47,10.98
20,KHL_9955_17_1x.bmp,76.57,137.00,134.22,3.25
21,KHL_9955_19_1xR.bmp,76.84,142.25,98.34,9.77
22,KHL_9955_19_1xR.bmp,80.18,122.00,-172.95,3.08
23,KHL_9955_20_1xR.bmp,69.75,129.92,-155.02,10.67
24,KHL_9955_20_1xR.bmp,76.62,126.67,120.96,3.12
25,KHL_9955_20_rev_2x.bmp,76.61,146.50,-97.69,9.88
26,KHL_9955_20_rev_2x.bmp,78.35,154.58,174.51,3.29
27,KHL_9955_20_rev_2x.bmp,71.98,141.75,115.05,10.64
28,KHL_9955_20_rev_2x.bmp,78.38,115.17,-156.21,3.20
29,KHL_9955_22_1xT.bmp,65.03,129.17,82.10,12.37
30,KHL_9955_22_1xT.bmp,65.39,139.00,171.57,3.44
