 ,Label,Min,Max,Angle,Length
1,KAS_GEL_3681_02_1x.bmp,43.51,126.00,-163.81,16.16
2,KAS_GEL_3681_02_1x.bmp,47.98,136.00,-68.96,1.85
3,KAS_GEL_3681_03_rev_1x.bmp,49.78,117.11,90.42,17.09
4,KAS_GEL_3681_03_rev_1x.bmp,55.16,123.56,-3.81,1.93
5,KAS_GEL_3681_04_rev_1x.bmp,48.74,114.56,166.33,19.22
6,KAS_GEL_3681_04_rev_1x.bmp,48.95,130.33,-104.93,1.96
7,KAS_GEL_3681_06_rev_2x.bmp,49.28,126.42,118.58,17.64
8,KAS_GEL_3681_06_rev_2x.bmp,56.45,122.11,24.44,1.58
9,KAS_GEL_3681_06_rev_2x.bmp,41.75,117.81,15.59,16.87
10,KAS_GEL_3681_06_rev_2x.bmp,59.06,133.81,113.20,1.98
11,KAS_GEL_3681_07_rev_1x.bmp,65.23,111.75,120.72,15.47
12,KAS_GEL_3681_07_rev_1x.bmp,63.33,127.42,-145.30,1.96
13,KAS_GEL_3681_08_1x.bmp,36.16,111.67,-55.13,18.60
14,KAS_GEL_3681_08_1x.bmp,39.92,126.00,-138.01,1.76
15,KAS_GEL_3681_09_1x.bmp,51.16,108.11,-57.72,19.78
16,KAS_GEL_3681_09_1x.bmp,54.44,124.22,-146.31,2.27
17,KAS_GEL_3681_10_1x.bmp,71.49,144.26,-146.94,19.03
18,KAS_GEL_3681_10_1x.bmp,60.19,121.17,126.87,1.91
19,KAS_GEL_3681_11_rev_1x.bmp,44.42,116.63,165.40,18.51
20,KAS_GEL_3681_11_rev_1x.bmp,57.61,132.74,75.07,1.97
21,KAS_GEL_3681_12_rev_1x.bmp,55.93,114.00,148.07,19.22
22,KAS_GEL_3681_12_rev_1x.bmp,66.74,117.67,55.30,1.92
23,KAS_GEL_3681_14_1xL.bmp,60.43,126.22,-143.22,16.11
24,KAS_GEL_3681_14_1xL.bmp,61.89,130.89,135.00,1.75
25,KAS_GEL_3681_14_1xL.bmp,56.38,128.00,126.18,16.81
26,KAS_GEL_3681_14_1xL.bmp,65.31,110.96,39.29,1.80
27,KAS_GEL_3681_15_rev_1xUR.bmp,55.47,104.67,-34.48,25.37
28,KAS_GEL_3681_15_rev_1xUR.bmp,64.83,113.96,-126.87,2.54
29,KAS_GEL_3681_17_rev_1x.bmp,50.99,138.90,-8.39,19.88
30,KAS_GEL_3681_17_rev_1x.bmp,51.01,119.33,81.87,1.73
31,KAS_GEL_3681_18_rev_1x.bmp,89.56,124.15,118.92,20.56
32,KAS_GEL_3681_18_rev_1x.bmp,91.38,115.08,-158.20,2.06
33,KAS_GEL_3681_23_rev_1x_paint.bmp,46.99,171.85,26.73,18.97
34,KAS_GEL_3681_23_rev_1x_paint.bmp,58.93,141.10,121.61,1.89
35,KAS_GEL_3681_25_1x.bmp,52.12,137.10,-54.71,20.13
36,KAS_GEL_3681_25_1x.bmp,68.85,111.33,-153.43,1.90
37,KAS_GEL_3681_31_1x_paint.bmp,52.64,128.50,-67.54,20.48
38,KAS_GEL_3681_31_1x_paint.bmp,64.67,149.60,24.78,1.86
39,KAS_GEL_3681_34_1x.bmp,47.58,124.33,-25.88,18.71
40,KAS_GEL_3681_34_1x.bmp,72.86,140.17,59.74,1.80
41,KAS_GEL_3681_35_1.bmp,46.30,136.56,68.40,19.57
42,KAS_GEL_3681_35_1.bmp,75.07,130.58,158.96,1.67
43,KAS_GEL_3681_37_rev_1x.bmp,67.90,144.98,48.26,23.41
44,KAS_GEL_3681_37_rev_1x.bmp,89.83,126.69,143.13,1.91
