 ,Label,Min,Max,Angle,Length
1,KHL_11200_01_1xCT.bmp,83.03,143.42,-100.68,20.38
2,KHL_11200_01_1xCT.bmp,87.27,130.67,160.67,1.90
3,KHL_11200_02x_1x_paint.bmp,70.95,121.67,156.30,16.06
4,KHL_11200_02x_1x_paint.bmp,75.45,137.92,-116.15,1.93
5,KHL_11200_03a_1xC_paint.bmp,60.85,114.75,-84.37,15.40
6,KHL_11200_03a_1xC_paint.bmp,63.48,129.58,5.81,1.87
7,KHL_11200_03x_1x_paint.bmp,63.73,135.17,-67.90,15.91
8,KHL_11200_03x_1x_paint.bmp,87.06,158.67,14.93,1.96
9,KHL_11200_04_1x.bmp,69.83,120.80,74.02,18.91
10,KHL_11200_04_1x.bmp,71.71,124.71,161.57,2.12
11,KHL_11200_05.bmp,64.75,113.00,-49.04,16.77
12,KHL_11200_05.bmp,67.47,122.00,-144.93,1.81
13,KHL_11200_06x_rev_1x_paint.bmp,62.41,184.12,158.58,15.87
14,KHL_11200_06x_rev_1x_paint.bmp,79.98,130.92,-120.11,1.82
15,KHL_11200_07_paint.bmp,87.38,139.33,-51.39,16.20
16,KHL_11200_07_paint.bmp,86.20,129.88,-148.47,1.63
17,KHL_11200_12x.bmp,74.22,119.17,-22.47,15.00
18,KHL_11200_12x.bmp,80.05,121.71,62.97,1.73
19,KHL_11200_13.bmp,59.98,108.33,-68.61,15.46
20,KHL_11200_13.bmp,67.58,115.75,-161.26,1.86
