 ,Label,Min,Max,Angle,Length
1,KHL_10813_01_3xC_T_L.bmp,87.94,145.94,-98.68,8.62
2,KHL_10813_01_3xC_T_L.bmp,82.84,151.58,175.83,2.88
3,KHL_10813_01_3xC_T_L.bmp,72.74,143.54,-25.61,9.25
4,KHL_10813_01_3xC_T_L.bmp,75.37,152.92,-115.54,3.14
5,KHL_10813_01_3xC_T_L.bmp,72.58,151.33,-116.48,9.32
6,KHL_10813_01_3xC_T_L.bmp,71.30,123.96,157.23,2.77
7,KHL_10813_01_rev_2x_L_CB_paint.bmp,73.89,143.50,-79.42,9.38
8,KHL_10813_01_rev_2x_L_CB_paint.bmp,76.40,139.56,-171.13,3.00
9,KHL_10813_01_rev_2x_L_CB_paint.bmp,67.18,153.15,-37.92,8.68
10,KHL_10813_01_rev_2x_L_CB_paint.bmp,72.50,148.63,-122.22,2.95
11,KHL_10813_03_rev_2xT_CR_paint.bmp,71.87,162.11,-5.78,10.21
12,KHL_10813_03_rev_2xT_CR_paint.bmp,74.15,165.67,86.40,3.34
13,KHL_10813_03_rev_2xT_CR_paint.bmp,74.26,145.89,106.68,10.39
14,KHL_10813_03_rev_2xT_CR_paint.bmp,70.63,147.89,-165.02,3.41
15,KHL_10813_04_2xC_paint.bmp,65.63,140.33,-28.14,10.24
16,KHL_10813_04_2xC_paint.bmp,73.52,153.22,-119.52,3.28
17,KHL_10813_04_2xC_paint.bmp,65.11,143.09,-146.24,9.22
18,KHL_10813_04_2xC_paint.bmp,70.51,157.03,-57.29,3.07
19,KHL_10813_05_rev_1xTL.bmp,71.96,138.61,-164.82,9.22
20,KHL_10813_05_rev_1xTL.bmp,73.05,147.00,109.75,3.48
21,KHL_10813_06_2x_CR_paint.bmp,85.32,144.08,-71.84,10.41
22,KHL_10813_06_2x_CR_paint.bmp,81.94,158.72,-161.43,2.77
23,KHL_10813_07_4x_LL_CC_paint.bmp,79.33,167.12,-140.85,9.83
24,KHL_10813_07_4x_LL_CC_paint.bmp,81.15,151.83,130.21,3.02
25,KHL_10813_07_4x_LL_CC_paint.bmp,73.16,152.22,-39.51,9.47
26,KHL_10813_07_4x_LL_CC_paint.bmp,83.51,140.07,-130.86,3.08
27,KHL_10813_07_4x_LL_CC_paint.bmp,75.74,149.33,-122.28,8.85
28,KHL_10813_07_4x_LL_CC_paint.bmp,81.02,151.48,151.68,2.75
29,KHL_10813_07_4x_LL_CC_paint.bmp,82.19,144.11,-16.98,8.12
30,KHL_10813_07_4x_LL_CC_paint.bmp,76.49,169.54,72.08,2.93
