Specimen_ID	LaborNr	Species_epithet	ITS_PUBLIC	Species name	ITS_good_sequence	ITS_good_ID	ITS_good_PCR_PRIMER	LAT_full	LONG_full	LAT_rounded	LONG_rounded	COORD_FROM	Host	Substrate	Habitat	Country	Region.Province.State.District	Subregion.Municipality	Locality.text	Date_of_collecting	Collector	Collector.ID	Specimen.location	Specimen_all_data	GBIF_occurrence_page
KHL_11200	169	cochleum	MN207036	Subulicystidium cochleum	yes	Sasha 201906	ITS3; ITS4	10.7180556	-85.04527778	10.7181	-85.0453	gps	angiosperm tree	hanging stem		Costa Rica	Alajuela	Bijagua	Albergue Heliconias, Sendero Heliconias, 770 m a.s.l	12 Jul 2001	K.-H.Larsson	KHL 11200	GB	Costa Rica. Alajuela: Bijagua, Albergue Heliconias, Sendero Heliconias, 770 m a.s.l, 10.7181, -85.0453, on hanging stem of angiosperm tree, 12 Jul 2001, K.-H.Larsson (KHL 11200 in GB).	
KHL_14355	89	cochleum	MN207034	Subulicystidium cochleum	yes	Sasha 201906	ITS1f; ITS4						angiosperm tree	dead wood		Madagascar	Anosy	Tolagnaro	Mandena Conservation Zone	11 Mar 2010	K.-H.Larsson	KHL 14355	O:F	Madagascar. Anosy: Tolagnaro, Mandena Conservation Zone, , , on dead wood of angiosperm tree, 11 Mar 2010, K.-H.Larsson (KHL 14355 in O:F).	
KHL_10517	90	cochleum	MN207035	Subulicystidium cochleum	David_9	KHL_10517_ITS4_ID69GA58_wb2008874	ITS4	18.0588889	-77.53083333	18.0589	-77.5308	gps	angiosperm	very rotten log	on the ground	Jamaica	Middlesex County	Manchester parish	Marshalls Pen, Sutton Farm	8 Jun 1999	K.-H.Larsson	KHL 10517	GB	Jamaica. Middlesex County: Manchester parish, Marshalls Pen, Sutton Farm, 18.0589, -77.5308, on very rotten log of angiosperm, 8 Jun 1999, K.-H.Larsson (KHL 10517 in GB).	
KHL_9569	141	fusisporum	MW711727	Subulicystidium fusisporum	YES			18.3238889	-65.81722222	18.3239	-65.8172	gps				Puerto Rico		Municipio Rio Grande	Luquillo Mts, El Verde Research Area, lower part of 16-hectare grid, 345-360 m	28 Jun 1996	K.-H.Larsson	KHL 9569	GB	Puerto Rico. : Municipio Rio Grande, Luquillo Mts, El Verde Research Area, lower part of 16-hectare grid, 345-360 m, 18.3239, -65.8172, on  of , 28 Jun 1996, K.-H.Larsson (KHL 9569 in GB).	
KHL_9093	96	fusisporum	MH041534	Subulicystidium fusisporum	yes	NA	NA	18.3233333	-65.81722222	18.3233	-65.8172	gps	angiosperm tree	strongly decayed stem	on the ground	Puerto Rico		Municipio Rio Grande	Luquillo Mts, El Verde Research Area, between Field Station and 16-hectare grid, 320-380 m	19 Jun 1996	K.-H.Larsson	KHL 9093	GB	Puerto Rico. : Municipio Rio Grande, Luquillo Mts, El Verde Research Area, between Field Station and 16-hectare grid, 320-380 m, 18.3233, -65.8172, on strongly decayed stem of angiosperm tree, 19 Jun 1996, K.-H.Larsson (KHL 9093 in GB).	
KHL_10360	5	fusisporum	MH041535	Subulicystidium fusisporum	Sasha_2016_p0	KHL_10360_ITS1f_55IC44	ITS1f	18.3233333	-65.81722222	18.3233	-65.8172	gps		log	on the ground	Puerto Rico		Municipio Rio Grande	Luquillo Mts, El Verde Research Area, between Field Station and 16-hectare grid, 320-380 m	9 Jun 1998	K.-H.Larsson	KHL 10360	GB	Puerto Rico. : Municipio Rio Grande, Luquillo Mts, El Verde Research Area, between Field Station and 16-hectare grid, 320-380 m, 18.3233, -65.8172, on log of , 9 Jun 1998, K.-H.Larsson (KHL 10360 in GB).	
KAS_L_1726	62	harpagum	MH041532	Subulicystidium harpagum	Sasha_2015	L1726_contig_ITS1-ITS4_54EF15-54EF16.fas	ITS1; ITS4	-21.34375	55.74102778	-21.3438	55.7410	gps		dead branch		R̩union	Saint-Pierre	Saint-Philippe	For̻t de Mare Longue , 495 m	28 Mar 2015	M.Striegel	L 1726a	KAS	R̩union. Saint-Pierre: Saint-Philippe, For̻t de Mare Longue , 495 m, -21.3438, 55.7410, on dead branch of , 28 Mar 2015, M.Striegel (L 1726a in KAS).	
LR_15736	37	harpagum	MH041531	Subulicystidium harpagum	Sasha_2016_p2	LR_15736_ITS1f_55IF80_wb1651701_finch.fas	ITS1f	11.31701	-74.1063	11.3170	-74.1063	map		dead twig		Colombia	Magdalena		Parque Nacional Tayrona, Estacion de Gairaca, 0-30 m a.s.l	12 Jun 1978	L.Ryvarden	LR 15736	O:F	Colombia. Magdalena: , Parque Nacional Tayrona, Estacion de Gairaca, 0-30 m a.s.l, 11.3170, -74.1063, on dead twig of , 12 Jun 1978, L.Ryvarden (LR 15736 in O:F).	
KAS_L_0244	65	harpagum	MH041533	Subulicystidium harpagum	Sasha_2015	V_Z__L_0244_ITS1F_C06_022_1_finch	ITS1f	-21.2080556	55.79805556	-21.2081	55.7981	gps		strongly decayed wood	Pandanuswald	R̩union	Saint-Benǫt	Sainte-Rose	For̻t de Bois Blanc, 640 m	21 Mar 2013	E.Langer	L 0244	KAS	R̩union. Saint-Benǫt: Sainte-Rose, For̻t de Bois Blanc, 640 m, -21.2081, 55.7981, on strongly decayed wood of , 21 Mar 2013, E.Langer (L 0244 in KAS).	
KHL_10444	3	inornatum	MH041558	Subulicystidium inornatum	Sasha_2016_p2	KHL_10444_ITS1f_id55IF28_wb1649463_finch.fas	ITS1f	18.3002778	-65.79166667	18.3003	-65.7917	gps		wet dead wood	on the ground	Puerto Rico		Municipio Rio Grande	Luquillo Mts, El Yunque, Mount Britton Trail, between upper road and trail head, 760-880 m	11 Jun 1998	K.-H.Larsson	KHL 10444	GB	Puerto Rico. : Municipio Rio Grande, Luquillo Mts, El Yunque, Mount Britton Trail, between upper road and trail head, 760-880 m, 18.3003, -65.7917, on wet dead wood of , 11 Jun 1998, K.-H.Larsson (KHL 10444 in GB).	
KAS_GEL_3519	91	longisporum	MW711724	Subulicystidium tropicum	yes			24.091197	121.033728	24.0912	121.0337	map				Taiwan	Nantou		Huisun Recreation Area, path to the stone frog	26 Apr 1996	G.Langer, E.Langer & C.-J.Chen	GEL 3519	KAS	Taiwan. Nantou: , Huisun Recreation Area, path to the stone frog, 24.0912, 121.0337, on  of , 26 Apr 1996, G.Langer, E.Langer & C.-J.Chen (GEL 3519 in KAS).	
