Species_ID,Image_ID,Specimen_ID,PC1_symm_mean,PC1_asym_mean,PC2_asym_mean,PC3_asym_mean,PC1_glob_mean,PC2_glob_mean,Length_mean,Width_mean,Length_to_width_ratio_mean,N_spores
longisporum,KAS_GEL_3550_image008_1,KAS_GEL_3550,-0.0856103,0.043872800000000003,0.0102774,0.006441971,-0.07463489,-0.06078049,14.17,2.45,5.78,1
longisporum,KAS_GEL_3550_image009_1,KAS_GEL_3550,-0.07832478,-0.05823516,-0.009147563,0.002363657,-0.08878285,0.04021843,15.33,2.67,5.74,1
longisporum,KAS_GEL_3550_image011_1,KAS_GEL_3550,-0.05507326,0.02705617,0.005692491,0.01444502,-0.04840548,-0.03890195,14.06,2.83,4.97,1
longisporum,KAS_GEL_3550_image011_2,KAS_GEL_3550,-0.05902011,0.04196025,-0.009829292,0.01945388,-0.04928492,-0.05455187,13.12,2.43,5.4,1
longisporum,KAS_GEL_3550_image012_1,KAS_GEL_3550,-0.07928627,-0.0655636,-0.00858188,-0.01020867,-0.0910882,0.04829274,14.31,2.33,6.14,1
longisporum,KAS_GEL_3550_image014_1,KAS_GEL_3550,-0.07191483,0.06599321,-0.01089408,-2.876625e-4,-0.05657413,-0.07911293,13.51,2.45,5.51,1
longisporum,KAS_GEL_3550_image014_2,KAS_GEL_3550,-0.05937349,-0.02017167,-0.003529082,-0.005772638,-0.06221776,0.007609571,13.18,2.77,4.76,1
longisporum,KAS_GEL_3550_image016_1,KAS_GEL_3550,-0.0661112,0.03310389,-0.01724476,-0.01438292,-0.05767738,-0.04487031,12.86,2.55,5.04,1
longisporum,KAS_GEL_3550_image016_2,KAS_GEL_3550,-0.05033942,0.07194411,0.001900882,0.03473213,-0.03465512,-0.08307752,14.23,2.87,4.96,1
longisporum,KAS_GEL_3550_image019_1,KAS_GEL_3550,-0.04987643,0.03530929,0.003137883,0.001757441,-0.04139311,-0.04418029,11.85,2.49,4.76,1
longisporum,KAS_GEL_3550_image020_1,KAS_GEL_3550,-0.01002836,0.06111815,-0.00531521,6.046248e-4,0.002927155,-0.06153646,13.6,2.49,5.46,1
longisporum,KAS_GEL_3550_image023_1,KAS_GEL_3550,-0.05596903,-0.05113701,-0.0138876,-0.01086494,-0.06531304,0.03895479,13.84,2.62,5.28,1
inornatum,KAS_GEL_3677_06A_1x,KAS_GEL_3677,0.03105965,0.06754179,-0.008784723,0.004272735,0.04437686,-0.05895244,10.42,2.58,4.04,1
inornatum,KAS_GEL_3677_07A_1x,KAS_GEL_3677,0.03246171,0.0102875,-0.01264294,-0.003589155,0.03386664,-0.00264402,10.62,2.75,3.86,1
inornatum,KAS_GEL_3677_10B_2x,KAS_GEL_3677,0.036841429999999994,0.00362537,-0.0149087765,0.002229825,0.036681115,0.0037084199999999996,12.190000000000001,2.9,4.199999999999999,2
inornatum,KAS_GEL_3677_11B_1x,KAS_GEL_3677,0.03984526,0.02648891,-0.01732227,-0.004475854,0.04448719,-0.01690275,11.09,2.92,3.8,1
inornatum,KAS_GEL_3677_13B_1x,KAS_GEL_3677,0.09779488,0.0369544,-0.02394912,-0.005407217,0.1033333,-0.01454393,8.96,2.77,3.23,1
inornatum,KAS_GEL_3677_14B_1x,KAS_GEL_3677,0.06772671,0.01937769,-0.01054455,-0.00529656,0.07032604,-0.00345228,10.14,2.8,3.62,1
inornatum,KAS_GEL_3677_16B_1x,KAS_GEL_3677,0.0473212,-0.001858348,-0.006530831,0.00560303,0.04580291,0.0114137,11.73,3.13,3.75,1
inornatum,KAS_GEL_3677_17B_1xC,KAS_GEL_3677,0.04982498,-0.01793859,-0.002720638,0.003006568,0.04494228,0.02793657,11.84,3.07,3.86,1
inornatum,KAS_GEL_3677_18B_2x,KAS_GEL_3677,0.05289231,0.0314427,-0.006293126,-0.003095501,0.05830908,-0.01938366,10.88,3.22,3.38,1
inornatum,KAS_GEL_3677_20C_rev,KAS_GEL_3677,0.04909078,0.002141896,-0.006091843,0.006713256,0.04835099,0.008192525,11.24,2.96,3.8,1
inornatum,KAS_GEL_3677_21C_1x,KAS_GEL_3677,0.06742586,0.005349007,-2.022435e-5,0.01304991,0.0668973,0.00807095,10.78,3.09,3.49,1
inornatum,KAS_GEL_3677_23C_1xTR,KAS_GEL_3677,0.1127809,0.02316629,-0.008605194,-0.003434951,0.1151176,0.001397001,10.65,3.11,3.42,1
inornatum,KAS_GEL_3677_23C_rev,KAS_GEL_3677,0.05846401,0.01474705,-0.01023366,-0.003963643,0.06026152,-0.00178896,10.66,2.74,3.89,1
inornatum,KAS_GEL_3677_26C_1,KAS_GEL_3677,0.05141692,0.01264271,-0.007180092,0.001157645,0.05289793,-7.950637e-4,10.29,2.68,3.84,1
perlongisporum_1,KAS_GEL_3681_02_1x,KAS_GEL_3681,-0.1938337,-0.01580603,-0.006191486,0.002753539,-0.1929228,-0.02533528,16.16,1.85,8.74,1
perlongisporum_1,KAS_GEL_3681_03_rev,KAS_GEL_3681,-0.1871201,-0.03428171,-0.001186432,0.01511497,-0.1903407,-0.006868463,17.09,1.93,8.85,1
perlongisporum_1,KAS_GEL_3681_04_rev,KAS_GEL_3681,-0.2057518,-0.05867377,0.00592774,-0.001568135,-0.2133845,0.01497124,19.22,1.96,9.81,1
perlongisporum_1,KAS_GEL_3681_06_rev,KAS_GEL_3681,-0.1918316,0.003963764999999999,-0.0140593555,-0.007586683,-0.18673555,-0.04327742,17.255000000000003,1.78,9.84,2
perlongisporum_1,KAS_GEL_3681_07_rev,KAS_GEL_3681,-0.1762183,-0.02336363,-0.005443799,-0.03428828,-0.1767921,-0.01101968,15.47,1.96,7.89,1
perlongisporum_1,KAS_GEL_3681_08_1x,KAS_GEL_3681,-0.2029094,-0.03493473,-0.02482443,-0.01760998,-0.2055908,-0.007485504,18.6,1.76,10.57,1
perlongisporum_1,KAS_GEL_3681_09_1x,KAS_GEL_3681,-0.1777558,0.001695972,-0.008550209,0.005374316,-0.1735834,-0.0392703,19.78,2.27,8.71,1
perlongisporum_1,KAS_GEL_3681_10_1x,KAS_GEL_3681,-0.185521,-0.07864418,0.006939511,-0.01186815,-0.1976076,0.03960865,19.03,1.91,9.96,1
perlongisporum_1,KAS_GEL_3681_11_rev,KAS_GEL_3681,-0.1964836,-0.001715497,0.001458544,0.00671873,-0.1925953,-0.03967236,18.51,1.97,9.4,1
perlongisporum_1,KAS_GEL_3681_12_rev,KAS_GEL_3681,-0.1857887,2.424403e-4,-0.00186398,0.001782414,-0.1817021,-0.03913501,19.22,1.92,10.01,1
perlongisporum_1,KAS_GEL_3681_14_1xL,KAS_GEL_3681,-0.17167815,-0.018621020000000002,0.006302963,-0.0029107150000000004,-0.17172300000000001,-0.017160075,16.46,1.775,9.275,2
perlongisporum_1,KAS_GEL_3681_15_rev,KAS_GEL_3681,-0.1848268,-0.0367821,0.01714506,-0.003456492,-0.1882987,-0.002101918,25.37,2.54,9.99,1
perlongisporum_1,KAS_GEL_3681_17_rev,KAS_GEL_3681,-0.2011814,-0.08681023,0.028736,-0.004582314,-0.2146459,0.04368865,19.88,1.73,11.49,1
perlongisporum_1,KAS_GEL_3681_18_rev,KAS_GEL_3681,-0.1836741,-0.07207659,0.0185266,-0.005284478,-0.1945086,0.03274678,20.56,2.06,9.98,1
perlongisporum_1,KAS_GEL_3681_23_rev,KAS_GEL_3681,-0.2013401,-0.07976521,0.0102485,-2.327428e-4,-0.2134406,0.03635307,18.97,1.89,10.04,1
perlongisporum_1,KAS_GEL_3681_25_1x,KAS_GEL_3681,-0.1984473,-0.09173183,0.02995598,-0.007763139,-0.2129403,0.04942271,20.13,1.9,10.59,1
perlongisporum_1,KAS_GEL_3681_31_1x,KAS_GEL_3681,-0.2108457,-0.04577166,0.004334552,0.001389871,-0.215708,7.114104e-4,20.48,1.86,11.01,1
perlongisporum_1,KAS_GEL_3681_34_1x,KAS_GEL_3681,-0.2040702,-0.01399049,0.02215334,0.01169499,-0.2025583,-0.0293226,18.71,1.8,10.39,1
perlongisporum_1,KAS_GEL_3681_35_1,KAS_GEL_3681,-0.2197266,-0.0494879,0.004255219,-0.01203733,-0.2250021,0.003835108,19.57,1.67,11.72,1
perlongisporum_1,KAS_GEL_3681_37_rev,KAS_GEL_3681,-0.2133038,-0.06622397,0.01126928,-0.007592188,-0.2222464,0.02065837,23.41,1.91,12.26,1
tropicum,KAS_GEL_4878_img001_rev,KAS_GEL_4878,-0.03285822,-0.05909798,-0.0173674,-0.01348612,-0.04436073,0.0515935,14.41,3.07,4.69,1
tropicum,KAS_GEL_4878_img002_rev,KAS_GEL_4878,-0.06697946,-0.05188678,-0.008107993,-0.007134515,-0.07628221,0.03715937,16.34,3.02,5.41,1
tropicum,KAS_GEL_4878_img005_rev,KAS_GEL_4878,-0.07077623,-0.07219197,-0.01759471,-0.008154445,-0.08425979,0.05582402,17.26,3.15,5.48,1
tropicum,KAS_GEL_4878_img006_paint,KAS_GEL_4878,-0.0363911,0.02135618,-0.02540919,-0.007748579,-0.03112184,-0.02809987,13.62,3.11,4.38,1
tropicum,KAS_GEL_4878_img010_rev,KAS_GEL_4878,-0.05795582,-0.0130711,-0.01715954,-0.004074849,-0.05940091,9.271207e-4,13.92,2.86,4.87,1
tropicum,KAS_GEL_4878_img016_paint,KAS_GEL_4878,-0.03231861,-0.029209,-0.01291854,-0.009319325,-0.03761092,0.02263399,14.65,3.14,4.67,1
tropicum,KAS_GEL_4878_img019_rev,KAS_GEL_4878,-0.0433458,-0.007719088,-7.99283e-4,0.01555802,-0.04422078,-0.002277732,14.97,3.06,4.89,1
tropicum,KAS_GEL_4878_img021_1,KAS_GEL_4878,-0.04846556,-0.0367753,-0.006760272,0.001425819,-0.05513546,0.02554216,15.27,3.11,4.91,1
tropicum,KAS_GEL_4878_img028_1,KAS_GEL_4878,-0.04193991,0.03696147,-0.001519735,0.01221653,-0.03350225,-0.04545389,13.82,2.87,4.82,1
